"동별","독거노인별","항목","단위","2021 년","2022 년","2023 년","2024 년",
"다산동","저소득노인","계","","24","43","38","18",
"다산동","저소득노인","65~79세","","7","21","17","6",
"다산동","저소득노인","80세 이상","","17","22","21","12",
"다산동","일   반","계","","523","476","521","554",
"다산동","일   반","65~79세","","394","349","403","432",
"다산동","일   반","80세 이상","","129","127","118","122",
"약수동","합계","계","","1097","1124","1204","1242",
"약수동","합계","65~79세","","715","735","785","813",
"약수동","합계","80세 이상","","382","389","419","429",
"약수동","국민기초생활보장 수급권자","계","","380","418","441","450",
"약수동","국민기초생활보장 수급권자","65~79세","","236","246","255","266",
"약수동","국민기초생활보장 수급권자","80세 이상","","144","172","186","184",
"약수동","저소득노인","계","","64","110","92","51",
"약수동","저소득노인","65~79세","","33","63","47","23",
"약수동","저소득노인","80세 이상","","31","47","45","28",
"약수동","일   반","계","","653","596","671","741",
"약수동","일   반","65~79세","","446","426","483","524",
"약수동","일   반","80세 이상","","207","170","188","217",
"청구동","합계","계","","783","825","868","786",
"청구동","합계","65~79세","","524","550","578","527",
"청구동","합계","80세 이상","","259","275","290","259",
"청구동","국민기초생활보장 수급권자","계","","284","318","340","353",
"청구동","국민기초생활보장 수급권자","65~79세","","177","201","213","225",
"청구동","국민기초생활보장 수급권자","80세 이상","","107","117","127","128",
"청구동","저소득노인","계","","29","47","43","24",
"청구동","저소득노인","65~79세","","17","30","30","16",
"청구동","저소득노인","80세 이상","","12","17","13","8",
"청구동","일   반","계","","470","460","485","409",
"청구동","일   반","65~79세","","330","319","335","286",
"청구동","일   반","80세 이상","","140","141","150","123",
"신당5동","합계","계","","586","572","619","644",
"신당5동","합계","65~79세","","454","443","469","484",
"신당5동","합계","80세 이상","","132","129","150","160",
"신당5동","국민기초생활보장 수급권자","계","","172","201","219","245",
"신당5동","국민기초생활보장 수급권자","65~79세","","122","156","162","177",
"신당5동","국민기초생활보장 수급권자","80세 이상","","50","45","57","68",
"신당5동","저소득노인","계","","28","31","19","9",
"신당5동","저소득노인","65~79세","","16","18","13","5",
"신당5동","저소득노인","80세 이상","","12","13","6","4",
"신당5동","일   반","계","","386","340","381","390",
"신당5동","일   반","65~79세","","316","269","294","302",
"신당5동","일   반","80세 이상","","70","71","87","88",
"동화동","합계","계","","357","337","354","391",
"동화동","합계","65~79세","","232","223","226","251",
"동화동","합계","80세 이상","","125","114","128","140",
"동화동","국민기초생활보장 수급권자","계","","67","67","72","97",
"동화동","국민기초생활보장 수급권자","65~79세","","42","44","42","63",
"동화동","국민기초생활보장 수급권자","80세 이상","","25","23","30","34",
"동화동","저소득노인","계","","11","15","17","10",
"동화동","저소득노인","65~79세","","6","9","9","4",
"동화동","저소득노인","80세 이상","","5","6","8","6",
"동화동","일   반","계","","279","255","265","284",
"동화동","일   반","65~79세","","184","170","175","184",
"동화동","일   반","80세 이상","","95","85","90","100",
"황학동","합계","계","","649","647","700","767",
"황학동","합계","65~79세","","517","514","542","599",
"황학동","합계","80세 이상","","132","133","158","168",
"황학동","국민기초생활보장 수급권자","계","","203","214","253","277",
"황학동","국민기초생활보장 수급권자","65~79세","","155","166","187","209",
"황학동","국민기초생활보장 수급권자","80세 이상","","48","48","66","68",
"황학동","저소득노인","계","","21","20","17","12",
"황학동","저소득노인","65~79세","","14","15","14","9",
"황학동","저소득노인","80세 이상","","7","5","3","3",
"황학동","일   반","계","","425","413","430","478",
"황학동","일   반","65~79세","","348","333","341","381",
"황학동","일   반","80세 이상","","77","80","89","97",
"중림동","합계","계","","596","613","648","648",
"중림동","합계","65~79세","","451","469","490","477",
"중림동","합계","80세 이상","","145","144","158","171",
"중림동","국민기초생활보장 수급권자","계","","203","221","237","260",
"중림동","국민기초생활보장 수급권자","65~79세","","150","175","182","205",
"중림동","국민기초생활보장 수급권자","80세 이상","","53","46","55","55",
"중림동","저소득노인","계","","16","33","33","9",
"중림동","저소득노인","65~79세","","13","21","15","3",
"중림동","저소득노인","80세 이상","","3","12","18","6",
"중림동","일   반","계","","377","359","378","379",
"중림동","일   반","65~79세","","288","273","293","269",
"중림동","일   반","80세 이상","","89","86","85","110",
"용산구","합계","계","","11170","9873","10498","13417",
"용산구","합계","65~79세","","7673","6903","7228","9231",
"용산구","합계","80세 이상","","3497","2970","3270","4186",
"용산구","국민기초생활보장 수급권자","계","","2650","2871","3029","3022",
"용산구","국민기초생활보장 수급권자","65~79세","","1826","1973","2073","2099",
"용산구","국민기초생활보장 수급권자","80세 이상","","824","898","956","923",
"용산구","저소득노인","계","","345","290","96","110",
"용산구","저소득노인","65~79세","","199","171","45","59",
"용산구","저소득노인","80세 이상","","146","119","51","51",
"용산구","일   반","계","","8175","6712","7373","10285",
"용산구","일   반","65~79세","","5648","4759","5110","7073",
"용산구","일   반","80세 이상","","2527","1953","2263","3212",
"후암동","합계","계","","967","884","954","1319",
"후암동","합계","65~79세","","667","620","674","922",
"후암동","합계","80세 이상","","300","264","280","397",
"후암동","국민기초생활보장 수급권자","계","","272","268","287","317",
"후암동","국민기초생활보장 수급권자","65~79세","","184","174","191","215",
"후암동","국민기초생활보장 수급권자","80세 이상","","88","94","96","102",
"후암동","저소득노인","계","","53","32","15","13",
"후암동","저소득노인","65~79세","","33","16","7","7",
"후암동","저소득노인","80세 이상","","20","16","8","6",
"후암동","일   반","계","","642","584","652","989",
"후암동","일   반","65~79세","","450","430","476","700",
"후암동","일   반","80세 이상","","192","154","176","289",
"용산2가동","합계","계","","586","541","573","812",
"용산2가동","합계","65~79세","","385","371","381","533",
"용산2가동","합계","80세 이상","","201","170","192","279",
"용산2가동","국민기초생활보장 수급권자","계","","151","168","192","208",
"용산2가동","국민기초생활보장 수급권자","65~79세","","95","112","126","140",
"용산2가동","국민기초생활보장 수급권자","80세 이상","","56","56","66","68",
"용산2가동","저소득노인","계","","19","19","7","7",
"용산2가동","저소득노인","65~79세","","5","8","-","2",
"용산2가동","저소득노인","80세 이상","","14","11","7","5",
"용산2가동","일   반","계","","416","354","374","597",
"용산2가동","일   반","65~79세","","285","251","255","391",
"용산2가동","일   반","80세 이상","","131","103","119","206",
"남영동","합계","계","","981","869","969","1533",
"남영동","합계","65~79세","","786","707","786","1255",
"남영동","합계","80세 이상","","195","162","183","278",
"남영동","국민기초생활보장 수급권자","계","","488","520","559","562",
"남영동","국민기초생활보장 수급권자","65~79세","","409","436","468","473",
"남영동","국민기초생활보장 수급권자","80세 이상","","79","84","91","89",
"남영동","저소득노인","계","","5","3","4","2",
"남영동","저소득노인","65~79세","","3","2","4","1",
"남영동","저소득노인","80세 이상","","2","1","-","1",
"남영동","일   반","계","","488","346","406","969",
"남영동","일   반","65~79세","","374","269","314","781",
"남영동","일   반","80세 이상","","114","77","92","188",
"청파동","합계","계","","1037","965","1065","921",
"청파동","합계","65~79세","","764","731","796","614",
"청파동","합계","80세 이상","","273","234","269","307",
"청파동","국민기초생활보장 수급권자","계","","291","339","373","416",
"청파동","국민기초생활보장 수급권자","65~79세","","206","228","252","288",
"청파동","국민기초생활보장 수급권자","80세 이상","","85","111","121","128",
"청파동","저소득노인","계","","33","29","8","5",
"청파동","저소득노인","65~79세","","20","20","5","3",
"청파동","저소득노인","80세 이상","","13","9","3","2",
"청파동","일   반","계","","713","597","684","500",
"청파동","일   반","65~79세","","538","483","539","323",
"청파동","일   반","80세 이상","","175","114","145","177",
"원효로1동","합계","계","","546","493","517","782",
"원효로1동","합계","65~79세","","394","361","379","556",
"원효로1동","합계","80세 이상","","152","132","138","226",
"원효로1동","국민기초생활보장 수급권자","계","","105","128","132","139",
"원효로1동","국민기초생활보장 수급권자","65~79세","","47","85","95","97",
"원효로1동","국민기초생활보장 수급권자","80세 이상","","58","43","37","42",
"원효로1동","저소득노인","계","","22","22","2","12",
"원효로1동","저소득노인","65~79세","","13","13","1","6",
"원효로1동","저소득노인","80세 이상","","9","9","1","6",
