행정동코드,행정동명,시군구명,자치구명,연도,총인구수,65세이상인구,독거노인수_2018,고령화율,고령화율_변화,독거노인비율,비율_75-79세,비율_85세이상,인프라갭,포화도,시설수,수요공급갭지수,요양수요가속도
1141065500,홍제제2동,서대문구,서대문구,2023,13328,2815,539.0,21.12,0.93,25.72,18.6,9.92,2815.0,0.908,9.0,351.9313,29.51
1141066000,홍은제1동,서대문구,서대문구,2023,22452,4711,968.0,20.98,0.78,25.07,18.42,10.81,2355.5,0.908,9.0,537.2681,19.89
1141068500,홍은제2동,서대문구,서대문구,2023,28514,5446,966.0,19.1,-0.6,23.41,18.56,10.73,1815.33,0.908,9.0,569.3339,27.75
1141069000,남가좌제1동,서대문구,서대문구,2023,16722,2294,353.0,13.72,-0.38,19.35,17.71,10.12,1147.0,0.908,9.0,260.5358,22.94
1141070000,남가좌제2동,서대문구,서대문구,2023,29274,4996,937.0,17.07,0.64,27.38,19.78,9.64,4996.0,0.908,9.0,623.6007,37.84
1141071000,북가좌제1동,서대문구,서대문구,2023,17703,3133,437.0,17.7,1.02,18.67,19.35,9.61,1566.5,0.908,9.0,355.2252,29.17
1141072000,북가좌제2동,서대문구,서대문구,2023,30903,6552,1333.0,21.2,0.99,25.61,20.22,8.94,6552.0,0.908,9.0,814.5446,23.02
1144055500,아현동,마포구,마포구,2023,27437,3511,474.0,12.8,0.24,22.93,16.83,10.72,1755.5,0.993,3.0,877.6798,52.96
1144056500,공덕동,마포구,마포구,2023,36757,6086,1520.0,16.56,0.59,29.41,18.32,10.64,6086.0,0.993,3.0,1908.5696,16.35
1144058500,도화동,마포구,마포구,2023,20789,3830,726.0,18.42,0.79,24.26,17.66,12.3,1915.0,0.993,3.0,969.5262,24.66
1144059000,용강동,마포구,마포구,2023,21301,3041,576.0,14.28,0.58,23.71,17.95,11.9,1013.67,0.993,3.0,639.2689,22.45
1144060000,대흥동,마포구,마포구,2023,14488,1985,542.0,13.7,-0.51,34.51,17.44,10.53,661.67,0.993,3.0,416.2876,23.42
1144061000,염리동,마포구,마포구,2023,16781,2088,431.0,12.44,-0.04,28.16,20.16,9.87,2088.0,0.993,3.0,654.2226,31.06
1144063000,신수동,마포구,마포구,2023,22235,3371,633.0,15.16,0.57,22.1,18.86,10.22,1123.67,0.993,3.0,702.7973,16.29
1144065500,서강동,마포구,마포구,2023,24676,3340,567.0,13.54,0.49,20.75,18.35,10.57,1113.33,0.993,3.0,697.7817,20.07
1144066000,서교동,마포구,마포구,2023,24466,3335,655.0,13.63,0.27,25.73,19.5,12.72,833.75,0.993,3.0,604.5402,27.0
1144068000,합정동,마포구,마포구,2023,16654,2681,590.0,16.1,0.76,25.29,19.27,10.38,1340.5,0.993,3.0,671.1079,13.9
1144069000,망원제1동,마포구,마포구,2023,19376,3410,947.0,17.6,0.72,26.45,19.95,9.24,3410.0,0.993,3.0,1060.5952,-4.87
1144070000,망원제2동,마포구,마포구,2023,18204,3242,548.0,17.81,0.89,22.21,20.35,8.98,3242.0,0.993,3.0,1006.0736,27.3
1144071000,연남동,마포구,마포구,2023,14528,2302,474.0,15.85,0.27,24.63,19.21,11.86,2302.0,0.993,3.0,727.8924,17.92
1144072000,성산제1동,마포구,마포구,2023,18679,3046,542.0,16.31,0.69,23.64,20.01,8.18,1523.0,0.993,3.0,753.3976,28.4
1144073000,성산제2동,마포구,마포구,2023,39067,6428,1412.0,16.45,0.53,29.09,19.89,9.35,3214.0,0.993,3.0,1602.3718,28.09
1144074000,상암동,마포구,마포구,2023,30009,4279,460.0,14.26,0.94,18.56,17.99,10.32,2139.5,0.993,3.0,1067.3538,54.59
1147051000,목1동,양천구,양천구,2023,30362,3537,397.0,11.65,0.8,16.57,17.36,7.13,589.5,0.96,13.0,226.7403,38.94
1147052000,목2동,양천구,양천구,2023,29283,4437,878.0,15.15,1.03,22.56,16.37,7.57,2218.5,0.96,13.0,361.3493,13.11
1147053000,목3동,양천구,양천구,2023,21506,3612,625.0,16.8,1.25,25.39,16.29,9.17,1204.0,0.96,13.0,277.7854,38.34
1147054000,목4동,양천구,양천구,2023,24774,3431,599.0,13.85,0.8,25.62,18.22,8.48,3431.0,0.96,13.0,301.7074,38.35
1147055000,목5동,양천구,양천구,2023,40615,5074,438.0,12.49,0.91,12.24,15.25,9.42,2537.0,0.96,13.0,414.8502,34.91
1147056000,신월1동,양천구,양천구,2023,19998,4465,1417.0,22.33,1.25,33.01,18.35,6.63,4465.0,0.96,13.0,387.2431,3.94
1147057000,신월2동,양천구,양천구,2023,20343,4137,651.0,20.34,1.23,24.03,17.48,6.7,4137.0,0.96,13.0,358.1756,42.32
